"","106_1_Control","106_1_CQ","106_1_76I_Control","106_1_76I_CQ","106_1_76I_352K_Control","106_1_76I_352K_CQ"
"Pf.2.115.0_CDS_at",4.01842499795549,3.97250015194741,3.48030651737194,3.50281364885338,3.08083197078349,3.25951883737643
"Pf.12.60.0_CDS_at",6.39837584102467,6.21237508134134,5.92346906780221,5.73155135484115,5.91329173224943,6.27880500943439
"Pf.12.99.0_CDS_at",8.37775477051634,8.57702436943921,8.92746430447977,8.77967152853873,8.85821571016082,9.1373571615449
"Pf.14.279.0_CDS_at",6.28576681730825,6.12739021656266,5.84624497748831,5.56605423922213,5.33331545611017,5.60559413444957
"Pf.11.477.0_CDS_at",9.30643706495772,9.2261655598549,8.99173894199788,8.77819013169696,9.59297718362065,9.71369610802632
"Pf.6.129.0_CDS_at",7.89576401899919,7.95596879550726,7.44123780741419,7.5443226081077,6.97913561292467,7.27350129897229
"Pf.8.259.0_CDS_at",4.12080089474569,3.90592275399666,3.72153608894784,3.35533244948762,3.3000188173721,3.62412978140431
"Pf.5.39.0_CDS_at",4.66674722473236,4.81883788108642,5.06665665011054,4.92772856763685,4.92408526995451,5.4604423762745
"Pf.4.15.0_CDS_at",3.35352068999426,3.3494791013681,3.68320238003023,3.52698439855309,4.26640657976067,4.06821900500645
"Pf.UN_4.2.0_CDS_at",7.97372497767553,8.08417259990075,7.72570611185982,7.67810402198772,8.70749408434056,8.32838450167401
"Pf.13_1.225.0_CDS_at",9.15520598362072,9.2132279838982,8.38203851071205,8.34411355363385,8.46227380656143,8.57693826603779
"Pf.10.223.0_CDS_x_at",5.02954692069963,4.99497168964273,4.87164907918733,4.47783526484506,4.98261785889115,5.19007862254001
"Pf.2.140.0_CDS_at",7.85814600386127,7.68172423266405,8.06694314895386,8.01130615007685,7.61711469147246,8.22605399240382
"Pf.9.68.0_CDS_at",3.02085151450455,3.13137224357494,3.38064851382672,3.14939311739136,3.43712401752938,3.88883242155106
"Pf.12.69.2_a_at",8.74056482126109,8.87454965634605,7.93242215678678,7.98777966404889,8.22455403997229,8.08894440899644
